Fighter Name,Division,Record,Height,Weight,Reach,Stance,DOB,Team,First_last_last3,First_last_last4,First_last_last5,First_last_last6,First_last_last7,First_last_last8,First_last_last9,First_last_last10,Striking Accuracy,Sig. Strikes Landed,Sig. Strikes Attempted,Sig. Strikes Landed Per Min,Sig. Strikes Absorbed Per Min,Takedown Accuracy,Takedowns Landed,Takedowns Attempted,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense,Takedown Defense,Knockdown Avg,Average fight time,Wins by KO/TKO,Wins by Submission,Wins by Decision,Losses by KO/TKO,Losses by Submission,Losses by Decision,Win Streak,Last Fight Date,Last Fight Opponent,Last Fight Result,Last Fight Method,Last Fight Round,Last Fight Time
Kai Asakura,Flyweight,21-5-0,5' 8\,,69\,Orthodox,10/31/1993 (31),Japan Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamaru Usman,Welterweight,21-4-0,6' 0\,,76\,Switch,5/11/1987 (38),ONX Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karine Silva,Women's Flyweight,18-5-0,5' 5\,,67\,Orthodox,12/2/1993 (31),Gile Ribeiro Team / Noguchi Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karol Rosa,Women's Bantamweight,18-7-0,5' 5\,,67.5\,Orthodox,12/30/1994 (30),GAEA Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karolina Kowalkiewicz,Women's Strawweight,16-9-0,5' 3\,,64\,Orthodox,10/15/1985 (39),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katlyn Cerminara,Women's Flyweight,18-6-0,5' 9\,,68\,Orthodox,12/28/1988 (36),Renzo Gracie Jiu-Jitsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaue Fernandes,Lightweight,10-2-0,5' 9\,,73\,Orthodox,3/17/1995 (30),Nova Uniao ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaushik Saikumar,Bantamweight,5-0-0,5' 9\,,,,12/11/1997 (27),Fifty/50 Martial Arts Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayla Harrison,Women's Bantamweight,19-1-0,5' 8\,,66\,Southpaw,7/2/1990 (35),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelvin Gastelum,Middleweight,20-10-0,5' 9\,,71\,Southpaw,10/24/1991 (33),Fight Ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennedy Freeman,Women's Flyweight,6-0-0,5' 6\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennedy Nzechukwu,Heavyweight,14-6-0,6' 5\,,83\,Southpaw,6/13/1992 (33),Fortis MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ketlen Souza,Women's Strawweight,15-5-0,5' 3\,,63\,Orthodox,8/18/1994 (30),Carioca Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ketlen Vieira,Women's Featherweight,15-4-0,5' 8\,,68\,Orthodox,8/26/1991 (33),Nova Uniao ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Borjas,Flyweight,10-3-0,5' 5\,,68\,Orthodox,12/6/1997 (27),Pitbull Martial Arts Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Holland,Welterweight,28-14-0,6' 3\,,81\,Orthodox,11/5/1992 (32),Travis Lutter BJJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Vallejos,Featherweight,15-1-0,5' 7\,,68\,Switch,12/8/2001 (23),Brothers of Life MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khamzat Chimaev,Middleweight,14-0-0,6' 2\,,75\,Orthodox,5/1/1994 (31),Allstars Training Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khaos Williams,Welterweight,15-5-0,6' 0\,,77\,Orthodox,3/30/1994 (31),Murcielago MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiefer Crosbie,Welterweight,10-5-0,5' 11\,,70\,Switch,4/5/1990 (35),SBG Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Green,Lightweight,32-17-1,5' 10\,,71\,Orthodox,9/9/1986 (38),Pinnacle MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiru Sahota,Flyweight,12-3-0,5' 10\,,73\,Orthodox,5/28/1995 (30),Manchester Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitt Campbell,Welterweight,1-5-0,6' 2\,,74\,,6/26/1994 (31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaudia Sygula,Women's Bantamweight,7-2-0,5' 8\,,69\,Orthodox,12/30/1998 (26),Ankos MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kody Steele,Lightweight,7-1-0,5' 9\,,71\,Orthodox,4/21/1995 (30),Syndicate MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kris Moutinho,Bantamweight,14-7-0,5' 7\,,68\,Southpaw,8/9/1992 (32),New England Cartel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurt Holobaugh,Lightweight,22-10-0,5' 11\,,70\,Orthodox,9/8/1986 (38),Gracie United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuya Ito,Bantamweight,0-2-0,,,,,10/7/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Nelson,Featherweight,16-6-1,5' 11\,,71\,Switch,4/20/1991 (34),House Of Champions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Prepolec,Lightweight,18-9-0,5' 10\,,70\,Southpaw,8/30/1989 (35),Maximum Training Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyler Phillips,Bantamweight,12-4-0,5' 8\,,72\,Orthodox,6/12/1995 (30),MMA LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lando Vannata,Lightweight,12-7-2,5' 9\,,71\,Orthodox,3/14/1992 (33),Jackson's MMA Acoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauren Murphy,Women's Flyweight,16-7-0,5' 5\,,67\,Orthodox,7/27/1983 (42),Renzo Gracie Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence Lui,Bantamweight,1-1-0,,,,,,City Kickboxing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leon Edwards,Welterweight,22-5-0,6' 2\,,74\,Southpaw,8/25/1991 (33),Renegade MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lerone Murphy,Featherweight,16-0-1,5' 9\,,73\,Orthodox,7/22/1991 (34),Manchester Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li Jingliang,Welterweight,19-9-0,6' 0\,,71.5\,Orthodox,3/20/1988 (37),Kill Cliff FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loik Radzhabov,Lightweight,18-6-1,5' 11\,,69\,Orthodox,9/17/1990 (34),Kill Cliff FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loma Lookboonmee,Women's Strawweight,10-3-0,5' 1\,,61\,Orthodox,1/18/1996 (29),Lookboonmee Muay Thai Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loopy Godinez,Women's Strawweight,13-5-0,5' 2\,,61\,Orthodox,9/6/1993 (31),Lobo Gym MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luan Lacerda,Bantamweight,12-3-0,5' 7\,,71.5\,Orthodox,1/7/1993 (32),Nova Uniao ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luana Carolina,Women's Flyweight,11-4-0,5' 6\,,69\,Orthodox,6/11/1993 (32),Nova Uniao ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luana Pinheiro,Women's Strawweight,11-5-0,5' 2\,,62.5\,Orthodox,11/18/1992 (32),Nova Uniao ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luana Santos,Women's Bantamweight,9-2-0,5' 6\,,67\,Orthodox,4/16/2000 (25),011 MMA Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Almeida,,0-1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Rocha,Flyweight,17-2-0,5' 3\,,64\,Orthodox,8/12/2000 (24),Renovacao Fight Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ludovit Klein,Lightweight,23-5-1,5' 7\,,72.5\,Southpaw,2/22/1995 (30),Ankos MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Gurule,Flyweight,10-1-0,5' 5\,,64\,Orthodox,11/16/1993 (31),FactoryX Muay Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lukasz Brzeski,Heavyweight,9-7-1,6' 3\,,78\,Orthodox,5/17/1992 (33),Raion Fight Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyman Good,Welterweight,21-6-0,,,74\,Orthodox,5/26/1985,Team Tiger Schulman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mackenzie Dern,Women's Strawweight,15-5-0,5' 4\,,63\,Orthodox,3/24/1993 (32),RVCA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macy Chiasson,Women's Featherweight,11-4-0,5' 11\,,72\,Orthodox,7/27/1991 (34),Fortis MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magomed Ankalaev,Light Heavyweight,21-1-1,6' 3\,,75\,Orthodox,6/2/1992 (33),Gorets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mairon Santos,Lightweight,17-1-0,5' 7\,,72\,Orthodox,6/10/2000 (25),Xtreme Couture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm Wellmaker,Bantamweight,10-0-0,5' 10\,,71\,Switch,6/4/1994 (31),Faglier's Mixed Martial Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandel Nallo,Lightweight,13-3-0,5' 11\,,75\,,7/26/1989 (36),TriStar Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manel Kape,Flyweight,21-7-0,5' 5\,,68\,Southpaw,11/14/1993 (31),Xtreme Couture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manoel Sousa,Lightweight,11-1-0,5' 9\,,69\,,6/4/1997 (28),Academia Octógono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manolo Zecchini,Lightweight,11-4-0,5' 8\,,68\,Orthodox,10/22/1996 (28),Jackson-Wink MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manon Fiorot,Women's Flyweight,12-2-0,5' 7\,,65\,Orthodox,2/17/1990 (35),Boxing Squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansher Khera,Lightweight,8-0-0,5' 10\,,74\,,4/15/1992 (33),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel Exposito,Featherweight,13-2-0,5' 7\,,,,5/9/2000 (25),Entram Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel Torres,Lightweight,16-3-0,5' 10\,,73\,Switch,3/25/1995 (30),Entram Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcin Prachnio,Light Heavyweight,17-9-0,6' 3\,,73\,Orthodox,7/14/1988 (37),Tatsujin Dojo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcin Tybura,Heavyweight,27-9-0,6' 3\,,78\,Orthodox,11/9/1985 (39),Ankos MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcio Barbosa,,2-0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Tulio,Middleweight,14-1-0,6' 0\,,74.5\,Orthodox,6/13/1994 (31),Chute Boxe - Diego Lima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Buchecha,Heavyweight,5-2-0,6' 2\,,77\,Orthodox,1/8/1990 (35),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Bautista,Bantamweight,16-2-0,5' 9\,,69\,Switch,7/1/1993 (32),MMA LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Pinto,Heavyweight,10-0-0,6' 5\,,79\,Orthodox,3/14/1998 (27),FightZone London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Choinski,Lightweight,8-1-0,5' 8\,,69\,Orthodox,10/22/1995 (29),Roufusport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlon Vera,Bantamweight,23-10-1,5' 8\,,70.5\,Switch,12/2/1992 (32),RVCA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marnic Mann,Women's Strawweight,6-3-0,5' 0\,,64\,Southpaw,3/5/1993 (32),Montana Mixed Martial Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Buday,Heavyweight,16-2-0,6' 4\,,77\,Orthodox,11/11/1991 (33),Spartakus Fight Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Vettori,Middleweight,19-9-1,6' 0\,,74\,Southpaw,9/20/1993 (31),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryna Moroz,Women's Flyweight,11-6-0,5' 7\,,67\,Orthodox,9/8/1991 (33),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Jones,Lightweight,16-2-0,5' 10\,,74\,Orthodox,4/26/1995 (30),Pedro Bessa BJJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateusz Gamrot,Lightweight,25-3-0,5' 10\,,70.5\,Southpaw,12/11/1990 (34),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateusz Rebecki,Lightweight,20-2-0,5' 7\,,66\,Southpaw,11/3/1992 (32),BKS Skorpion Szczecin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Camilo,Lightweight,9-3-0,5' 10\,,69\,Orthodox,1/2/2001 (24),Xtreme Couture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Frevola,Lightweight,11-5-1,5' 9\,,71\,Orthodox,6/11/1990 (35),Serra-Longo Fight Team ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Schnell,Flyweight,17-9-0,5' 8\,,70\,Orthodox,1/15/1990 (35),Fortis MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauricio Ruffy,Lightweight,12-1-0,5' 11\,,75\,Orthodox,6/17/1996 (29),Fighting Nerds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Griffin,Welterweight,20-12-0,5' 11\,,76\,Orthodox,11/29/1985 (39),MMAGold Fight Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Holloway,Lightweight,27-8-0,5' 11\,,69\,Orthodox,12/4/1991 (33),Gracie Technics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maycee Barber,Women's Flyweight,14-2-0,5' 5\,,65\,Switch,5/18/1998 (27),Fort Collins Martial Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayra Bueno Silva,Women's Flyweight,10-5-1,5' 6\,,66.5\,Orthodox,8/22/1991 (33),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissa Gatto,Women's Bantamweight,9-2-2,5' 5\,,69\,Orthodox,5/2/1996 (29),MSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissa Martinez,Women's Strawweight,8-2-0,5' 2\,,66\,Southpaw,8/18/1997 (27),Bonebreakers MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissa Mullins,Women's Bantamweight,7-2-0,5' 7\,,68\,Orthodox,7/23/1991 (34),Renegade MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melquizael Costa,Featherweight,24-7-0,5' 10\,,71\,Southpaw,9/14/1996 (28),Chute Boxe - Joao Emilio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melsik Baghdasaryan,Featherweight,8-3-0,5' 9\,,70\,Southpaw,1/28/1992 (33),Glendale Fighting Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merab Dvalishvili,Bantamweight,20-4-0,5' 6\,,68\,Orthodox,1/10/1991 (34),Serra-Longo Fight Team ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Chandler,Lightweight,23-10-0,5' 8\,,71.5\,Orthodox,4/24/1986 (39),Kill Cliff FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Chiesa,Welterweight,19-7-0,6' 1\,,75.5\,Southpaw,12/7/1987 (37),Sikjitsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Johnson,Lightweight,25-19-0,5' 10\,,73.5\,Southpaw,6/4/1986 (39),Kill Cliff FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Morales,Welterweight,18-0-0,6' 0\,,79\,Orthodox,6/24/1999 (26),Entram Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Page,Middleweight,23-3-0,6' 3\,,79\,Switch,4/7/1987 (38),London Shootfighters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michal Oleksiejczuk,Middleweight,20-9-0,6' 0\,,74\,Southpaw,2/22/1995 (30),Ankos MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michel Pereira,Middleweight,31-13-0,6' 1\,,73\,Orthodox,10/6/1993 (31),Overcome Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle Montague,Women's Featherweight,6-0-0,5' 9\,,69\,,11/25/1993 (31),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mick Parkin,Heavyweight,10-1-0,6' 4\,,79\,Orthodox,10/2/1995 (29),Team Fish Tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mickey Gall,Welterweight,7-7-0,6' 2\,,74\,Switch,1/22/1992 (33),Sussex County MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miesha Tate,Women's Bantamweight,20-10-0,5' 6\,,65\,Orthodox,8/18/1986 (38),Xtreme Couture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Davis,Lightweight,12-3-0,6' 0\,,72.5\,Orthodox,10/7/1992 (32),Fusion X-Cel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Malott,Welterweight,12-2-1,6' 1\,,73\,Orthodox,11/7/1991 (33),Niagara Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miles Johns,Bantamweight,15-3-0,5' 7\,,66\,Orthodox,3/30/1994 (31),Marathon MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miranda Maverick,Women's Flyweight,17-6-0,5' 3\,,65.5\,Southpaw,7/1/1997 (28),Elevation Fight Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitch Ramirez,Lightweight,8-3-0,5' 11\,,71\,Orthodox,11/3/1992 (32),Syndicate MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitch Raposo,Flyweight,9-3-0,5' 5\,,64\,Switch,10/16/1998 (26),Regiment Traing Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modestas Bukauskas,Light Heavyweight,18-6-0,6' 3\,,78\,Switch,2/10/1994 (31),Gintas Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Yahya,Featherweight,12-6-0,5' 9\,,73\,Switch,5/23/1994 (31),TKMMAFIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed Usman,Heavyweight,12-4-0,6' 2\,,79\,Orthodox,4/1/1989 (36),Kill Cliff FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montel Jackson,Bantamweight,15-2-0,5' 10\,,75\,Southpaw,4/24/1992 (33),Pura Vida BJJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montserrat Conejo Ruiz,Women's Strawweight,10-4-0,5' 0\,,61\,Southpaw,2/3/1993 (32),Kings MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montserrat Rendon,Women's Bantamweight,6-1-0,5' 8\,,68\,Orthodox,3/16/1989 (36),ECR Fight Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan Charriere,Featherweight,21-11-1,5' 8\,,69\,Orthodox,10/26/1995 (29),Team Chapa Quente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movsar Evloev,Featherweight,19-0-0,5' 7\,,72.5\,Orthodox,2/11/1994 (31),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mridul Saikia,Flyweight,8-0-0,5' 6\,,,,5/9/1997 (28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muhammad Naimov,Featherweight,13-3-0,5' 9\,,70\,Orthodox,8/7/1994 (30),Elevation Fight Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muin Gafurov,Bantamweight,20-6-0,5' 7\,,68\,Orthodox,5/17/1996 (29),Syndicate MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muslim Salikhov,Welterweight,22-5-0,5' 11\,,70\,Orthodox,6/9/1984 (41),Abdulmanap Nurmagomedov Martial Arts School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myktybek Orolbai,Lightweight,14-2-1,5' 10\,,74\,Orthodox,2/10/1998 (27),Team Alpha Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namsrai Batbayar,Flyweight,0-1-0,5' 6\,,,,3/22/2000 (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nasrat Haqparast,Lightweight,18-5-0,5' 10\,,72\,Southpaw,8/22/1995 (29),TriStar Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nassourdine Imavov,Middleweight,16-4-0,6' 3\,,75\,Orthodox,3/1/1995 (30),Kill Cliff FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natalia Silva,Women's Flyweight,19-5-1,5' 4\,,65\,Southpaw,2/3/1997 (28),Team Borracha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Landwehr,Featherweight,18-7-0,5' 9\,,72\,Orthodox,6/6/1988 (37),MMA Masters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Fletcher,Bantamweight,9-2-0,5' 7\,,70\,Orthodox,1/3/1998 (27),Next Generation MMA Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel Wood,Featherweight,21-6-0,5' 6\,,69\,Orthodox,5/8/1993 (32),Great Britain Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navajo Stirling,Light Heavyweight,7-0-0,6' 4\,,79\,Orthodox,11/7/1997 (27),City Kickboxing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nazim Sadykhov,Lightweight,11-1-1,5' 10\,,69\,Southpaw,5/16/1994 (31),Serra-Longo Fight Team ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neemias Santana,Middleweight,7-2-1,5' 10\,,,,10/5/1997 (27),Team Lucas Mineiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neil Magny,Welterweight,29-14-0,6' 3\,,80\,Orthodox,8/3/1987 (37),Pound 4 Pound Muay Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Diaz,Middleweight,26-10-0,6' 1\,,76\,Southpaw,8/2/1983 (41),Cesar Gracie Jiu-Jitsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Klein,Middleweight,6-2-0,6' 1\,,77\,Orthodox,9/8/1995 (29),Pura Vida BJJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolae Negumereanu,Light Heavyweight,13-2-0,6' 0\,,78\,Orthodox,9/4/1994 (30),Xtreme Couture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Dalby,Welterweight,23-6-1,5' 11\,,74.5\,Orthodox,11/16/1984 (40),Rumble Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolle Caliari,Women's Flyweight,8-4-0,5' 3\,,62\,Orthodox,11/4/1996 (28),Thai Brasil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikita Krylov,Light Heavyweight,30-11-0,6' 3\,,77.5\,Orthodox,3/7/1992 (33),Raty Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niko Price,Welterweight,16-9-0,6' 0\,,76\,Orthodox,9/29/1989 (35),Roufusport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikolas Motta,Lightweight,15-6-0,5' 9\,,70\,Orthodox,2/8/1993 (32),Xtreme Couture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikolay Veretennikov,Welterweight,13-6-0,6' 1\,,74\,Orthodox,12/22/1989 (35),Kings MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nora Cornolle,Women's Bantamweight,9-2-0,5' 7\,,67\,Orthodox,12/6/1989 (35),US Metro Bizot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norma Dumont,Women's Bantamweight,12-2-0,5' 7\,,67\,Orthodox,10/1/1990 (34),Team Souto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursulton Ruziboev,Middleweight,36-9-2,6' 5\,,76\,Orthodox,11/19/1993 (31),Renzo Gracie Philly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nurullo Aliev,Lightweight,10-0-0,5' 10\,,72\,Orthodox,12/8/2000 (24),Kaizen MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyamjargal Tumendemberel,Flyweight,8-1-0,5' 7\,,71\,Orthodox,3/22/1998 (27),ASM BJJ Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oban Elliott,Welterweight,12-3-0,6' 0\,,72\,Orthodox,12/19/1997 (27),Shore Mixed Martial Arts Centre of Excellence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
